"Trcid";"Title";"Shortdescription";"Longdescription";"Calendarsummary";"TitleEN";"ShortdescriptionEN";"LongdescriptionEN";"CalendarsummaryEN";"Types";"Ids";"Locatienaam";"City";"Adres";"Zipcode";"Latitude";"Longitude";"Urls";"Media";"Thumbnail";"Datepattern_startdate";"Datepattern_enddate";"Singledates";"Type1";"Lastupdated";
"04197e05-4fde-441f-a3bc-69f758e76202";"Nationale Tulpendag";"In Amsterdam wordt elk jaar in januari tijdens de Nationale Tulpendag de officiële aftrap gegeven voor het tulpenseizoen. Iedereen mag gratis op de Dam tulpen plukken in een speciaal aangelegde pluktuin. Kom naar de Dam op de opening van De Nationale Tulpendag.";"<h2>Gratis tulpen plukken </h2> Elk jaar zorgen ongeveer 1,7 miljard Nederlandse tulpen voor een lentegevoel in huis. Nederlandse tulpenkwekers cre&euml:ren op de Dam een reusachtige tuin met zo&rsquo:n 200.000 tulpen. Meer dan 10.000 mensen komen hier op af om gratis tulpen te  plukken - zorg dat je dit jaar ook je eigen tulpen plukt op de Dam!";"Za 20 januari 2018, Toelichting: Datum voor 2018 genoemd onder voorbehoud.";"National Tulip Day";"The Dutch tulip season officially gets underway in January every year as the National Tulip Day comes to town! Everyone is invited to pick their own tulip for free from a specially constructed ?picking garden? at Amsterdam?s Dam Square. ";"<h2>Tulips from Amsterdam<strong></strong></h2> Every year, an estimated 1.7 billion Dutch tulips bring a welcome touch of spring to households and businesses all over the globe. <strong>National Tulip Day</strong> sees Dutch tulip growers create a massive temporary garden on <strong>Dam Square</strong>, bursting with around <strong>200,000 tulips</strong>. More than 10,000 people traditionally come along to pick up their own free <strong>tulip from Amsterdam</strong> every year &ndash: don't miss the chance to pick your own! The special theme for 2017 is 'Mondrian to Dutch Design', as the Netherlands celebrates 100 years of De Stijl.<br /> <br /> For more information visit the <a target=&quot:_blank&quot:>National Tulip Day website</a>.";"Sa 20 January 2018, Explanation: Date for 2018 to be confirmed.";"";"2.4.1";"Dam";"AMSTERDAM";"Dam";"1012 JS";"52,3731270";"4,8900800";"";"https://media.iamsterdam.com/ndtrc/Images/20130116/e1fcfdcb-2293-4d2e-ae0d-82d24057b8fb.jpg,https://media.iamsterdam.com/ndtrc/Images/20130116/f19d613c-37ce-41cf-9490-a2eb0b46da2d.jpg,https://media.iamsterdam.com/ndtrc/Images/20130116/9ba9caa0-9230-4818-aee0-2e0d924cd8ad.jpg";"https://media.iamsterdam.com/ndtrc/Images/20130116/e1fcfdcb-2293-4d2e-ae0d-82d24057b8fb.jpg";"";"";"20-01-2018";"";"2017-01-23 14:10:03";
"aaf0366f-c756-4462-94c1-7ccf40863abf";"Turn on the Lights";"Jaarlijks opent de Bijenkorf in november met Turn on the Lights de feestmaand op spectaculaire wijze. Het warenhuis schenkt met deze lichttheatershow een feestelijk cadeau aan de stad Amsterdam.";"<h2>Opening feestmaand in Amsterdam</h2> Het belooft weer een onvergetelijke avond te worden, die je niet mag missen. Om 19.00 uur opent tv-presentatrice Quinty Trustfull dit bijzondere evenement op de Dam. Het Spaanse theatergezelschap Grupo Puja presenteert een unieke show met acrobatiek, muziek en licht. Met als hoogtepunt een spectaculaire vuurwerkshow en het ontsteken van de feestverlichting op de imposante gevel van <a re_target=&quot:_blank&quot: href=&quot:http://www.iamsterdam.com/nl/uit-in-amsterdam/zien-en-doen/shoppen/overzicht-warenhuizen/de-bijenkorf&quot: target=&quot:_blank&quot: tabindex=&quot:0&quot:>De Bijenkorf</a> bestaande uit zo'n 600.000 duurzame LED lampjes.<br /> <br /> Koopjesjagers zijn na de opening van Turn on the Lights zoet met de speciale koopavond in de Bijenkorf, die jaarlijks deze avond tot 22.00 uur extra lang open is. Een goed moment om inkopen te doen voor de feestdagen of een hapje te eten in het restaurant!<br /> <br /> Bekijk <a target=&quot:_blank&quot: href=&quot:https://www.debijenkorf.nl/turn-on-the-lights&quot:>hier</a> het aanbod.<br /> <br /> <h2>Hart van de stad verlicht</h2> Naast de prachtig verlichte gevel van de Bijenkorf staat er vanaf begin december ook <a re_target=&quot:_blank&quot: href=&quot:http://www.iamsterdam.com/nl/uit-in-amsterdam/uit/feestdagen/feestmaand-in-amsterdam/kerstboom-op-de-dam&quot: target=&quot:_blank&quot: tabindex=&quot:0&quot:>een enorme kerstboom</a> midden op de Dam. Samen met de boom vormt de verlichte Bijenkorf het middelpunt van alle feestelijke activiteiten in de stad.";"Do 16 november 2017 19:00 - 22:00 uur, Toelichting: Datum 2018 onder voorbehoud.";"Turn on the Lights";"With Turn on the Lights, Amsterdam's luxury department store de Bijenkorf opens the festive season in brilliant spectacle and festive cheer every November. ";"<h2>Opening the festive season in Amsterdam</h2> The special free event on Amsterdam&rsquo:s Dam Square traditionally kicks off at 19:00 with a magical theatrical show. In 2016, this will be performed by Spanish theatre group Grupo Puja, who'll bring acrobatics, music and light to the square. The climax of the performance is the illumination of hundreds of thousands of energy-efficient LED lights on the fa&ccedil:ade of the majestic de Bijenkorf building, as well as a festive fireworks display.<br /> <br /> After Turn on the Lights, de Bijenkorf organises a special late night shopping event, staying open until 22:00 to allow visitors to pick up some early Christmas gifts or have a bite to eat at the international restaurant. Take a wander through the store to discover a host of special offers by many major brands.<br /> <br /> <h2>Illuminating the heart of the city</h2> A massive illuminated Christmas tree is also erected in front of de Bijenkorf at the beginning of December. The tree and de Bijenkorf's festive fa&ccedil:ade then form a centrepiece for the Christmas decorations already installed on the lamp posts in the area, making Dam Square an attractive Amsterdam highlight every festive season.";"Th 16 November 2017 19:00 - 22:00 hour, Explanation: Date for 2017 to be confirmed.";"";"2.4.1";"De Bijenkorf";"AMSTERDAM";"Dam 1";"1012 JS";"52,3731270";"4,8900800";"";"http://www.youtube.com/v/Kp0EoRtm0K8,https://media.iamsterdam.com/ndtrc/Images/20130405/6ff241a3-0174-4bc4-97ca-dca763745c1e.jpg,https://media.iamsterdam.com/ndtrc/Images/20130405/7e71e914-cf74-40bd-b55b-7aeb5e698481.jpg";"https://media.iamsterdam.com/ndtrc/Images/20130405/6ff241a3-0174-4bc4-97ca-dca763745c1e.jpg";"";"";"16-11-2017";"";"2017-04-03 16:17:29";
"2f1479fa-3a41-416e-94ac-86e129f76480";"TangoTrain";"Warm jezelf tijdens de winterse dagen tussen kerst en oud & nieuw op met TangoTrain, het jaarlijkse tangofestival in Amsterdam met talentvolle dansers. Er zijn tijdens het festival in oude en nieuwe vormen van tango te zien op locaties rondom het IJ. Van 25 december 2017 tot en met 1 januari 2018.";"<h2>Tangofestival in Amsterdam</h2> Laat je bij een van de vele optredens en workshops in Amsterdam aansteken door de Argentijnse passie, en doe zelf mee! Alleen kijken kan natuurlijk ook.<br /> <br /> Bekijk de <a re_target=&quot:_blank&quot: href=&quot:http://www.tangotrain.com/&quot: target=&quot:_blank&quot:>TangoTrain website</a> te zijner tijd voor een lijst van deelnemende locaties en meer details over de optredens &amp: workshops.";"Meerdere data: Vanaf ma 25 december 2017 t/m ma 1 januari 2018 Toelichting: Data en tijden voor 2017 genoemd onder voorbehoud.";"TangoTrain";"Warm up the wintry days between Christmas and New Year with a week of dance at the TangoTrain. Both old and new varieties of tango are incorporated into the festival, taking place at locations around Amsterdam at the end of December and beginning of January.";"<h2>Tango festival in Amsterdam </h2> <p>Get a dose of fiery tango passion at one of the many <strong>TangoTrain</strong> dance performances and workshops around Amsterdam. It doesn't just take two to tango: whether you&rsquo:re there to participate or just watch, this event has something for everyone. You can count on <strong>over 100 hours of dancing</strong> over the festival's seven-day period, so if you want to get engrossed in a scene with its own unique character while enjoying some of the <strong>world's best tango and </strong><strong>milonga dancing</strong>, then this is the event for you. </p> <p>Visit the <a href=&quot:http://www.tangotrain.com/&quot:>TangoTrain website</a> for more programme information, and check out <a href=&quot:http://www.iamsterdam.com/en/visiting/whats-on/festivals&quot:>more upcoming festivals in Amsterdam</a>. </p>";"Multiple data: from Mo 25 December 2017 to Mo 1 January 2018 Explanation: Dates and times for 2017 need to be confirmed.";"";"2.4.1";"Diverse Locaties / Various locations";"AMSTERDAM";"Diverse locaties / Various locations";"1012 JS";"52,3726380";"4,8941060";"http://www.tangotrain.com/";"https://media.iamsterdam.com/ndtrc/Images/20140328/93580f6a-dcc4-4637-8f9b-392de604d6dd.jpg";"https://media.iamsterdam.com/ndtrc/Images/20140328/93580f6a-dcc4-4637-8f9b-392de604d6dd.jpg";"";"";"25-12-2017,26-12-2017,27-12-2017,28-12-2017,29-12-2017,30-12-2017,31-12-2017,01-01-2018";"";"2017-01-10 12:54:43";
"d3db0f05-742d-4b4a-a43f-5aafc0627948";"Internationaal Storytelling Festival";"Stoere verhalen, mooie verhalen, oude verhalen, ontroerende verhalen, het komt allemaal aan bod tijdens het Internationaal Storytelling Festival. In het najaar van 2017 vindt je op verschillende locaties in Amsterdam deze negende editie plaats. ";"<h2>Negen jaar verhalen vertellen</h2> Het internationale Storytelling Festival Amsterdam bestaat in 2017 tien jaar en trekt door heel Amsterdam. In de afgelopen jaren heeft het festival een naam opgebouwd als het festival waar je nationale en internationale topvertellers aan het werk kunt zien. Het doel van het festival is een bijdrage leveren aan de ontwikkeling van de vertelkunst in Nederland en de groei van de aandacht daarvoor.<br /> <br /> Bekijk de website van het <a re_target=&quot:_blank&quot: target=&quot:_blank&quot: href=&quot:http://www.storytellingfestival.nl/?p=home&quot:>Storytelling Festival</a> voor meer informatie en alle locaties.";"Meerdere data: Vanaf za 28 oktober 2017 t/m zo 5 november 2017 Toelichting: Data en tijden voor 2017 genoemd onder voorbehoud.";"International Storytelling Festival Amsterdam";"Tall tales, beautiful stories, old legends and touching recitals will all make an appearance at this year?s International Storytelling Festival, which takes place across various locations in Amsterdam every autumn.";"<h2>International and local storytelling in Amsterdam</h2> <p>Celebrating its tenth year in 2017, the International Storytelling Festival Amsterdam has built up a solid name providing a stage for the best of <strong>Dutch and international storyteller</strong><strong>s</strong>. The goal of the festival is to <strong>further develop storytelling in the Netherlands</strong> and <strong>increase awareness </strong>of the growing art. Events will be held at <strong>Oostblok, Muiderkerk, Hogeschool van Amsterdam, the Amsterdam Public Library (OBA), de Meervaart, Mezrab</strong> and <strong>Podium Mozaiek</strong>. The eclectic and international lineup includes Maria Johandotter, Nell Phoenix, Cat Gerrard and Tim Ralphs. <strong>Many of the stories are told in English</strong>, so sit back, relax and enjoy some terrific, touching and tickling tales. </p> <h3></h3> <p>Check the <a href=&quot:http://storytellingfestival.nl/en#home&quot:>Storytelling Festival website</a> for complete programme information. </p>";"Multiple data: from Sa 28 October 2017 to Su 5 November 2017 Explanation: Dates and times for 2017 to be confirmed.";"";"2.4.1";"Storytelling Festival";"AMSTERDAM";"Sajetplein 39";"1091 DB";"52,3608820";"4,9139530";"https://www.facebook.com/Storytellingfestivalamsterdam";"https://media.iamsterdam.com/ndtrc/Images/20140328/a2a9bf8a-22f3-4a38-b031-8986eec2fedf.jpg,https://media.iamsterdam.com/ndtrc/Images/d3/d3db0f05-742d-4b4a-a43f-5aafc0627948/42d79ec1-ab86-4ac4-bedc-fdd80fa5d8fa.jpg,http://www.youtube.com/v/-5c_qRALFFQ";"https://media.iamsterdam.com/ndtrc/Images/20140328/a2a9bf8a-22f3-4a38-b031-8986eec2fedf.jpg";"";"";"29-10-2017,30-10-2017,31-10-2017,01-11-2017,02-11-2017,03-11-2017,04-11-2017,05-11-2017,28-10-2017";"";"2017-01-10 12:50:16";
"0ab49302-09a2-4ea9-bfe9-50bb65696614";"Dancing on the Edge";"In Amsterdam, Den Haag, Rotterdam en Utrecht vindt om de twee jaar dit festival plaats met hedendaagse podiumkunst uit het Midden-Oosten en Noord-Afrika. Dit festival vindt weer plaats in het najaar van 2017.";"<h2></h2>";"Meerdere data: Vanaf wo 8 november 2017 t/m za 18 november 2017.";"Dancing on the Edge";"This celebration of Middle Eastern and North African arts and culture takes over multiple venues in Amsterdam, The Hague, Rotterdam and Utrecht every two years, offering lectures, meetings and workshops in addition to a host of live performances. The event takes place in Amsterdam's De Brakke Grond, and it is set to return in autumn 2017.";"<p>For full programme info and tickets visit the <a href=&quot:http://dancingontheedge.nl/&quot: target=&quot:_blank&quot:>Dancing on the Edge website</a>.</p>";"Multiple data: from We 8 November 2017 to Sa 18 November 2017.";"";"2.4.1";"De Brakke Grond";"AMSTERDAM";"Nes 45";"1012 KD";"52,3696240";"4,8932770";"https://www.brakkegrond.nl/agenda/dancing-on-the-edge";"https://media.iamsterdam.com/ndtrc/Images/0a/0ab49302-09a2-4ea9-bfe9-50bb65696614/98dec253-99f1-418e-b627-e01f82ff12ad.jpg";"https://media.iamsterdam.com/ndtrc/Images/0a/0ab49302-09a2-4ea9-bfe9-50bb65696614/98dec253-99f1-418e-b627-e01f82ff12ad.jpg";"";"";"08-11-2017,09-11-2017,10-11-2017,11-11-2017,12-11-2017,13-11-2017,14-11-2017,15-11-2017,16-11-2017,17-11-2017,18-11-2017";"";"2017-03-21 12:18:47";
"221e779e-8270-4d23-999a-3531700c3b71";"Whisky Weekend Amsterdam";"Elk jaar staat de Posthoornkerk te Amsterdam in januari in het teken van het Whisky Weekend. De kerk wordt getransformeerd tot een proeverij. Een walhalla voor whiskyliefhebbers! Het Whisky Weekend keert terug 2018 terug.";"<h2>Jaarlijks whiskyfestival in Amsterdam</h2> Toegangskaarten voor het festival zijn inclusief whisky met een souvenirglas en een flesje water. Neem even pauze van het whisky ruiken en proeven en steek een sigaartje op in de kelder, probeer whisky-vriendelijke kaas en andere Schotse producten of geniet simpelweg van de traditionele Schotse muziek.<br /> <br /> Bekijk de <a href=&quot:http://www.whiskyamsterdam.nl/&quot: target=&quot:_blank&quot: re_target=&quot:_blank&quot:>Whisky Weekend website</a> voor meer informatie en kaarten.";"Vr 19 januari 2018, za 20 januari 2018, Toelichting: Data voor 2018 genoemd onder voorbehoud.";"Whisky Weekend Amsterdam";"Peaty, oaky, creamy, smoky ? those are just a few words to describe whisky like a pro at the Whisky Weekend Amsterdam. Every year, Amsterdam's Posthoornkerk is transformed into a tasting room and hot spot for all things whisky.  ";"<h2>Annual whisky festival in Amsterdam</h2> Tickets traditionally include a welcome whisky with souvenir glass and a bottle of water. Take a break from nosings and tastings (expect a small surcharge for the more exclusive whiskies) to sample whisky-friendly cheeses and other Scottish products, or simply take in the traditional Scottish music.<br /> <br /> Head to the <a href=&quot:http://www.whiskyamsterdam.nl/&quot: target=&quot:_blank&quot: re_target=&quot:_blank&quot:>Whisky Weekend website</a> (in Dutch) for more information and tickets.";"Fr 19 January 2018, Sa 20 January 2018, Explanation: Dates for 2018 need to be confirmed.";"";"2.4.1";"Posthoornkerk";"AMSTERDAM";"Haarlemmerstraat 124-126";"1013 EX";"52,3810660";"4,8901810";"http://www.lbwhiskyweekendamsterdam.nl/";"https://media.iamsterdam.com/ndtrc/Images/20140416/262b2d84-0431-4bde-ac04-56d1a1bd0fcb.jpg,https://media.iamsterdam.com/ndtrc/Images/20140416/a4d09698-efe4-4c65-832b-d49ddeea8213.jpg";"https://media.iamsterdam.com/ndtrc/Images/20140416/262b2d84-0431-4bde-ac04-56d1a1bd0fcb.jpg";"";"";"19-01-2018,20-01-2018";"";"2017-03-16 12:26:34";
"3c288fc5-2b26-4952-a201-275a6f573fa8";"Jumping Amsterdam";"Amsterdam biedt onderdak aan het vierdaagse internationale concours hippique (dressuur- en springsport) Jumping Amsterdam. In de RAI in Amsterdam. ";"<h2>Concours hippique in de RAI Amsterdam</h2> Het dressuur- en springsport evenement in de RAI Amsterdam vormt een <strong>jaarlijks hoogtepunt op de Nederlandse hippische kalender</strong> en trekt de beste rijders ter wereld aan inclusief Olympische kampioenen. Jumping Amsterdam bestaat onder meer uit spring- en dressuurwedstrijden, shows, avond entertainment, een expositieruimte en diverse bars en restaurants.<br /> <br /> <h2> Paardentopsport</h2> Op Jumping Amsterdam strijdt de cr&egrave:me de la cr&egrave:me uit de (inter)nationale paardensportwereld vier dagen lang tegen elkaar. Zo zijn er de Grand Prix Special, de FEI Reem Acra Cup Dressage RAI Amsterdam Prize Six Bar wedstrijd, de Noord-Holland Prijs en de Grand Prix van Amsterdam. Het programma en de pot met prijzengeld leggen de lat hoog voor deelnemers. Op de Jumping Amsterdam Party kan iedereen na de wedstrijd een dansje wagen.<br /> <br /> Naast een gevarieerd programma van spring- en dressuurwedstrijden is er ook <strong>veel vermaak voor kinderen</strong>. Denk aan interactieve shows, kinderwedstrijden en meet &amp: greets met de top van de paardenwereld.<br /> <br /> Bezoek de website van <a href=&quot:http://www.jumpingamsterdam.nl/&quot: target=&quot:_blank&quot: re_target=&quot:_blank&quot:> Jumping Amsterdam</a>&nbsp:voor meer informatie.";"Do 25 januari 2018 08:30 uur, vr 26 januari 2018 09:00 - 02:00 uur, za 27 januari 2018 09:00 - 02:00 uur, zo 28 januari 2018 08:30 - 19:00 uur.";"Jumping Amsterdam";"The international equestrian event Jumping Amsterdam is a feast for the senses, taking place in the city every January.";"<h2>Jumping at RAI Amsterdam</h2> Held at the RAI Amsterdam, the event is <strong>an annual highlight on the Dutch equestrian calendar</strong> and draws the world&rsquo:s best riders, including Olympic champions. <strong>Jumping Amsterdam</strong> includes show jumping and dressage competitions (including FEI World Cup events), shows, evening entertainment, an exhibition area and various bars and restaurants.<br /> <br /> <h2>Dressage, show jumping &amp: much more</h2> The event never fails to attract top-notch dressage riders who fly in to compete from all over the world. Traditional events include the <strong>Grand Prix</strong>, the <strong>World Cup</strong> to music and the <strong>Amsterdam Dressage &amp: Show Night</strong>, while there's also team challenges for up-and-coming riders and special events set to music.<br /> <br /> In addition to the serious show jumping and dressage business there's always an <strong>extensive range of entertainment and children&rsquo:s programme</strong> featuring funny, exciting and interactive shows as well as competitions and famous riders inviting the kids to get involved. <br /> <br /> For more information, head to the <a re_target=&quot:_blank&quot: href=&quot:http://www.jumpingamsterdam.nl/en/&quot: target=&quot:_blank&quot:>Jumping Amsterdam website</a>.";"Th 25 January 2018 08:30 hour, Fr 26 January 2018 09:00 - 02:00 hour, Sa 27 January 2018 09:00 - 02:00 hour, Su 28 January 2018 08:30 - 19:00 hour.";"";"2.4.1";"RAI Amsterdam";"AMSTERDAM";"Europaboulevard 22";"1078 RV";"52,3390470";"4,8911530";"http://www.jumpingamsterdam.nl";"https://media.iamsterdam.com/ndtrc/Images/20140416/908eee04-e2f9-46c3-8922-a17b361d5454.jpg,https://media.iamsterdam.com/ndtrc/Images/20140416/960cb694-f17b-4a59-a167-ba1b39637e84.jpg,https://media.iamsterdam.com/ndtrc/Images/3c/3c288fc5-2b26-4952-a201-275a6f573fa8/8d23cc71-e05f-4608-9da3-6b2f16091b2f.jpg";"https://media.iamsterdam.com/ndtrc/Images/20140416/908eee04-e2f9-46c3-8922-a17b361d5454.jpg";"";"";"25-01-2018,26-01-2018,27-01-2018,28-01-2018";"";"2017-03-22 16:58:39";
"b3148e78-f653-484d-a069-9cd4b6cf924c";"Amsterdam Salsa Festival";"Ondanks de kou buiten krijg je het vanzelf warm bij het jaarlijkse Amsterdam Salsa Festival. ";"<strong>Drie dagen vol salsa<br /> </strong>Het festival, georganiseerd door het Meininger Hotel, belooft drie dagen vol dansworkshops, optredens van Nederlandse en internationale dansers en een geweldig themafeest.&nbsp:<br /> Bekijk te zijner tijd de <a target=&quot:_blank&quot: href=&quot:http://www.amsterdamsalsafestival.nl/#!/home&quot: re_target=&quot:_blank&quot:>Amsterdam Salsa Festival website</a> voor meer informatie en kaartverkoop.";"Do 15 februari 2018 18:00 - 03:00 uur, vr 16 februari 2018 12:00 - 05:00 uur, za 17 februari 2018 11:00 - 05:00 uur, zo 18 februari 2018 12:00 - 04:00 uur, Toelichting: Data en tijden voor 2018 genoemd onder voorbehoud.";"Amsterdam Salsa Festival";"It may still be a bit chilly outside, but you?re sure to feel the heat at the annual Amsterdam Salsa Festival.";"<h2>Three days of Salsa in Amsterdam<strong></strong></h2> <strong></strong>The <strong>Amsterdam Salsa Festival</strong> promises three packed days of <strong>dance workshops</strong>, <strong>performances</strong> by Dutch and international dancers and a <strong>blowout theme party</strong> on Saturday night at the Rhone Congress &amp: Party Centre.<br /> <br /> Head to the <a target=&quot:_blank&quot: href=&quot:http://www.amsterdamsalsafestival.nl/#!/home&quot: re_target=&quot:_blank&quot:>Amsterdam Salsa Festival website</a> for more information and tickets nearer the time.";"Th 15 February 2018 18:00 - 03:00 hour, Fr 16 February 2018 12:00 - 05:00 hour, Sa 17 February 2018 11:00 - 05:00 hour, Su 18 February 2018 12:00 - 04:00 hour, Explanation: Dates and times for 2018 to be confirmed.";"";"2.4.1";"Rhone Congres & Party Centre ";"AMSTERDAM";"Rhoneweg 12-14";"1043 AH";"52,3904160";"4,8313720";"http://www.amsterdamsalsafestival.nl";"https://media.iamsterdam.com/ndtrc/Images/20140416/c9aa34cb-5c23-4591-bc50-8308223d6008.jpg";"https://media.iamsterdam.com/ndtrc/Images/20140416/c9aa34cb-5c23-4591-bc50-8308223d6008.jpg";"";"";"15-02-2018,16-02-2018,17-02-2018,18-02-2018";"";"2017-02-20 17:17:43";
"7bf2a7bb-47b6-4fdf-8d17-7c6f23303379";"Da Bounce Urban Film Festival";"Met het Da Bounce Urban Film Festival, met films van makers met Afro-Amerikaanse, Afro-Caribische en Afro-Europese roots, is Amsterdam een bijzonder festival rijker. DBUFF vindt in 2017 voor de 4e keer plaats in het eerste weekend van november in de Westergasfabriek.";"<h2>Amsterdam filmfestival</h2> Dit driedaagse festival eert de urban lifestyle (vergelijkbaar met de muziekstroming R&amp:B). Je kunt er onder andere nieuwe films, klassiekers en documentaires bekijken. Verder zijn er ook Q&amp:A&rsquo:s, workshops, live optredens en nog veel meer.<br /> <br /> Bekijk de <a href=&quot:http://www.dbuff.nl/&quot: target=&quot:_blank&quot:>website</a> van het festival voor meer informatie en kaarten.";"Vr 3 november 2017, za 4 november 2017, zo 5 november 2017, Toelichting: Data en tijden voor 2017 genoemd onder voorbehoud.";"Da Bounce Urban Film Festival";"This film festival provides an international platform for urban film lovers and the film industry. Da Bounce Urban Film Festival takes place in Amsterdam every autumn.";"<h2>Amsterdam film festival</h2> Alongside new releases, old-school classics, shorts and documentaries, look out for live shows, parties, interviews with filmmakers and plenty more! <br /> <br /> Head to the festival&rsquo:s  <a target=&quot:_blank&quot: href=&quot:http://www.dbuff.nl/&quot:>website</a>";"Fr 3 November 2017, Sa 4 November 2017, Su 5 November 2017, Explanation: Dates and times for 2017 to be confirmed.";"";"2.4.1";"Westergasfabriek";"AMSTERDAM";"Polonceau-kade 27";"1014 DA";"52,3857890";"4,8713980";"http://www.dbuff.nl";"https://media.iamsterdam.com/ndtrc/Images/7b/7bf2a7bb-47b6-4fdf-8d17-7c6f23303379/86ca2303-0081-4a1a-8a50-3f9e3fdd5213.jpg";"https://media.iamsterdam.com/ndtrc/Images/7b/7bf2a7bb-47b6-4fdf-8d17-7c6f23303379/86ca2303-0081-4a1a-8a50-3f9e3fdd5213.jpg";"";"";"03-11-2017,04-11-2017,05-11-2017";"";"2017-03-16 12:51:46";
"91a5dd0b-0f53-4250-89eb-1f3eaec092f3";"Playgrounds Festival";"Playgrounds Digital Arts Festival is het evenement op het gebied van digitale audiovisuele kunst. Het festival toont de beste digitale design van dit moment. Creaties van onder meer grafisch ontwerpers, animators, character designers, gameontwikkelaars en andere digitale artiesten staan centraal. Op het festival kun je innovatieve animaties en films zien, maar ook de makers ontmoeten. Het festival keert in november 2017 terug naar de stad.";"";"Do 2 november 2017 t/m vr 3 november 2017 do, vr: 10:00 - 18:00 uur, Toelichting: Data en tijden voor 2017 genoemd onder voorbehoud.";"Playgrounds Festival";"Playgrounds Festival is a celebration of the creative image and the latest developments in film, animation, animatronics and more. The festival features a host of artists, storytellers, investors, technicians and craftspeople from across the globe. It takes place at Stadsschouwburg Amsterdam every November.";"<h2>A showcase of the creative image in Amsterdam </h2> <p>The media space has changed dramatically over the last 10 years: the quality of production in film, animation and video games is constantly improving &ndash: all thanks to the creative image. Playgrounds Festival is a celebration of the creative image&rsquo:s pioneers. The festival features some of the <strong>world's best and brightest video game developers, VFX designers and graphic designers </strong>: you can even <strong>meet the international filmmakers and audiovisual artists</strong> who are pushing the art forward. Activities include <strong>artist talks, workshops, film screenings</strong> and more. </p> <p>Check out the <a href=&quot:http://www.playgroundsfestival.nl/home/&quot:>Playgrounds Festival website</a> for the latest lineup and event information, and take a look at more <a href=&quot:http://www.iamsterdam.com/en/visiting/whats-on/festivals&quot:>upcoming festivals and events in Amsterdam</a>. <a href=&quot:http://www.iamsterdam.com/en/visiting/whats-on/festivals&quot:></a> </p>";"Th 2 November 2017 including Fr 3 November 2017 Th , Fr : 10:00 - 18:00 hour, Explanation: Dates and times for 2017 to be confirmed.";"";"2.4.1";"Stadsschouwburg Amsterdam";"AMSTERDAM";"Leidseplein 26";"1017 PT";"52,3638660";"4,8824200";"http://www.playgroundsfestival.nl/";"https://media.iamsterdam.com/ndtrc/Images/91/91a5dd0b-0f53-4250-89eb-1f3eaec092f3/f0f5d8dc-6722-4cd6-9353-e29b124fa616.jpg";"https://media.iamsterdam.com/ndtrc/Images/91/91a5dd0b-0f53-4250-89eb-1f3eaec092f3/f0f5d8dc-6722-4cd6-9353-e29b124fa616.jpg";"02-11-2017";"03-11-2017";"";"";"2017-01-10 12:53:31";
